"sel","_id","gc","length","bestsumorder_phylum","HPA_04_pilon_bwa_aligned_sorted_cov","id"
"","0","0.4066","15830492","Chordata","138.984","ctg1_pilon_pilon"
"","1","0.4149","9231046","Chordata","138.1397","ctg2_pilon_pilon"
"","2","0.4138","13955561","Chordata","138.6978","ctg3_pilon_pilon"
"","3","0.4116","10535204","Chordata","139.8842","ctg4_pilon_pilon"
"","4","0.4072","17148928","Chordata","139.7134","ctg5_pilon_pilon"
"","5","0.4132","6686224","Chordata","138.5863","ctg6_pilon_pilon"
"","6","0.4055","6426429","Chordata","139.066","ctg7_pilon_pilon"
"","7","0.4055","6418958","Chordata","138.5834","ctg8_pilon_pilon"
"","8","0.4067","9536354","Chordata","139.5825","ctg9_pilon_pilon"
"","9","0.4131","9002884","Chordata","138.1769","ctg10_pilon_pilon"
"","10","0.4107","17080892","Chordata","139.0263","ctg11_pilon_pilon"
"","11","0.4127","14012892","Chordata","138.1964","ctg12_pilon_pilon"
"","12","0.415","7625614","Chordata","137.966","ctg13_pilon_pilon"
"","13","0.4127","15040278","Chordata","137.9375","ctg14_pilon_pilon"
"","14","0.4111","13175824","Chordata","138.0719","ctg15_pilon_pilon"
"","15","0.4124","13230717","Chordata","139.4339","ctg16_pilon_pilon"
"","16","0.4196","5978848","Chordata","138.9902","ctg17_pilon_pilon"
"","17","0.4168","11624183","Chordata","138.6987","ctg18_pilon_pilon"
"","18","0.4122","9399630","Chordata","139.3701","ctg19_pilon_pilon"
"","19","0.4259","5177570","Chordata","137.0789","ctg20_pilon_pilon"
"","20","0.4224","3802638","Chordata","137.565","ctg21_pilon_pilon"
"","21","0.4094","9229276","Chordata","138.631","ctg22_pilon_pilon"
"","22","0.4061","6374955","Chordata","138.7189","ctg23_pilon_pilon"
"","23","0.4288","3704740","Chordata","138.709","ctg24_pilon_pilon"
"","24","0.4074","3642077","Chordata","138.6435","ctg25_pilon_pilon"
"","25","0.4217","5708022","Chordata","139.9498","ctg26_pilon_pilon"
"","26","0.4104","3521121","Chordata","139.7284","ctg27_pilon_pilon"
"","27","0.4075","6149721","Chordata","144.0075","ctg28_pilon_pilon"
"","28","0.4092","7607588","Chordata","139.2356","ctg29_pilon_pilon"
"","29","0.4069","8754035","Chordata","140.6013","ctg30_pilon_pilon"
"","30","0.4026","4893637","Chordata","140.4236","ctg31_pilon_pilon"
"","31","0.4113","7543918","Chordata","137.965","ctg32_pilon_pilon"
"","32","0.4087","3303871","Chordata","138.5733","ctg33_pilon_pilon"
"","33","0.4123","4866971","Chordata","139.1985","ctg34_pilon_pilon"
"","34","0.4083","7588340","Chordata","138.2781","ctg35_pilon_pilon"
"","35","0.4167","7549757","Chordata","139.0778","ctg36_pilon_pilon"
"","36","0.4156","3091862","Chordata","137.6294","ctg37_pilon_pilon"
"","37","0.41","4099978","Chordata","139.205","ctg38_pilon_pilon"
"","38","0.4077","5336457","Chordata","141.0931","ctg39_pilon_pilon"
"","39","0.4134","7733176","Chordata","140.3031","ctg40_pilon_pilon"
"","40","0.4065","3279252","Chordata","143.9501","ctg41_pilon_pilon"
"","41","0.4296","4940753","Chordata","138.6916","ctg42_pilon_pilon"
"","42","0.4174","6984675","Chordata","139.9385","ctg43_pilon_pilon"
"","43","0.4154","2395228","Chordata","139.4726","ctg44_pilon_pilon"
"","44","0.4111","2342071","Chordata","137.97","ctg45_pilon_pilon"
"","45","0.4233","4007935","Chordata","139.0575","ctg46_pilon_pilon"
"","46","0.4092","3885391","Chordata","141.1479","ctg47_pilon_pilon"
"","47","0.4031","2250793","Chordata","140.1262","ctg48_pilon_pilon"
"","48","0.3973","4431058","Chordata","143.3335","ctg49_pilon_pilon"
"","49","0.4081","5182082","Chordata","140.717","ctg50_pilon_pilon"
"","50","0.4088","2373632","Chordata","144.4276","ctg51_pilon_pilon"
"","51","0.4288","4056739","Chordata","140.3851","ctg52_pilon_pilon"
"","52","0.4235","3980589","Chordata","137.5829","ctg53_pilon_pilon"
"","53","0.4159","2042031","Chordata","137.9098","ctg54_pilon_pilon"
"","54","0.412","4202113","Chordata","138.1173","ctg55_pilon_pilon"
"","55","0.4074","4509257","Chordata","142.1858","ctg56_pilon_pilon"
"","56","0.4114","1892324","Chordata","137.3571","ctg57_pilon_pilon"
"","57","0.4049","3060149","Chordata","144.5149","ctg58_pilon_pilon"
"","58","0.3956","1911161","Chordata","143.1347","ctg59_pilon_pilon"
"","59","0.3984","1829794","Chordata","140.7018","ctg60_pilon_pilon"
"","60","0.4353","3096184","Chordata","136.6782","ctg61_pilon_pilon"
"","61","0.4241","1873535","Chordata","137.9734","ctg62_pilon_pilon"
"","62","0.406","3175808","Chordata","140.7959","ctg63_pilon_pilon"
"","63","0.4357","1690351","Chordata","138.8621","ctg64_pilon_pilon"
"","64","0.4196","1691943","Chordata","137.8772","ctg65_pilon_pilon"
"","65","0.4116","1676777","Chordata","142.1974","ctg66_pilon_pilon"
"","66","0.4321","1638809","Chordata","135.4669","ctg67_pilon_pilon"
"","67","0.4106","1628084","Chordata","139.0207","ctg68_pilon_pilon"
"","68","0.3993","2278018","Chordata","145.6537","ctg69_pilon_pilon"
"","69","0.4229","5389762","Chordata","141.1777","ctg70_pilon_pilon"
"","70","0.4311","2379415","Chordata","142.9887","ctg71_pilon_pilon"
"","71","0.3984","1782727","Chordata","141.2516","ctg72_pilon_pilon"
"","72","0.4085","1421522","Chordata","144.3841","ctg73_pilon_pilon"
"","73","0.4164","1417498","Chordata","139.5046","ctg74_pilon_pilon"
"","74","0.4065","1405854","Chordata","138.6272","ctg75_pilon_pilon"
"","75","0.4083","2729158","Chordata","139.1022","ctg76_pilon_pilon"
"","76","0.4023","1376204","Chordata","139.9478","ctg77_pilon_pilon"
"","77","0.4092","1384742","Chordata","141.3744","ctg78_pilon_pilon"
"","78","0.4121","2340542","Chordata","139.6365","ctg79_pilon_pilon"
"","79","0.42","3173544","Chordata","138.4176","ctg80_pilon_pilon"
"","80","0.4316","3257763","Chordata","140.5951","ctg81_pilon_pilon"
"","81","0.4126","2180954","Chordata","145.8592","ctg82_pilon_pilon"
"","82","0.4003","1308618","Chordata","139.1569","ctg83_pilon_pilon"
"","83","0.4267","3311524","Chordata","152.1878","ctg84_pilon_pilon"
"","84","0.412","1264435","Chordata","140.1326","ctg85_pilon_pilon"
"","85","0.398","1451257","Chordata","139.543","ctg86_pilon_pilon"
"","86","0.4131","1794564","Chordata","137.5587","ctg87_pilon_pilon"
"","87","0.4335","1725040","Chordata","138.8701","ctg88_pilon_pilon"
"","88","0.4013","1218327","Chordata","140.3889","ctg89_pilon_pilon"
"","89","0.4243","3602732","Chordata","140.3969","ctg90_pilon_pilon"
"","90","0.3987","2417605","Chordata","146.3118","ctg91_pilon_pilon"
"","91","0.4012","1186740","Chordata","138.8698","ctg92_pilon_pilon"
"","92","0.4286","2683139","Chordata","137.0842","ctg93_pilon_pilon"
"","93","0.4167","1169056","Chordata","138.4176","ctg94_pilon_pilon"
"","94","0.4165","1176549","Chordata","137.8219","ctg95_pilon_pilon"
"","95","0.4219","1161321","Chordata","136.8544","ctg96_pilon_pilon"
"","96","0.4344","1162196","Chordata","136.6593","ctg97_pilon_pilon"
"","97","0.4014","1155358","Chordata","137.9406","ctg98_pilon_pilon"
"","98","0.4008","1664905","Chordata","148.652","ctg99_pilon_pilon"
"","99","0.4031","1217986","Chordata","147.1302","ctg100_pilon_pilon"
"","100","0.4006","2261818","Chordata","142.3255","ctg101_pilon_pilon"
"","101","0.4196","1120535","Chordata","138.5723","ctg102_pilon_pilon"
"","102","0.4172","1127198","Chordata","136.8456","ctg103_pilon_pilon"
"","103","0.4161","1672174","Chordata","136.4997","ctg104_pilon_pilon"
"","104","0.413","1071490","Chordata","138.4038","ctg105_pilon_pilon"
"","105","0.4157","1307069","Chordata","139.7135","ctg106_pilon_pilon"
"","106","0.4046","1052109","Chordata","138.9708","ctg107_pilon_pilon"
"","107","0.4019","1044583","Chordata","143.2823","ctg108_pilon_pilon"
"","108","0.4064","1046930","Chordata","136.6682","ctg109_pilon_pilon"
"","109","0.4247","1548901","Chordata","140.9529","ctg110_pilon_pilon"
"","110","0.4132","1354836","Chordata","139.1546","ctg111_pilon_pilon"
"","111","0.3985","1000532","Chordata","139.3857","ctg112_pilon_pilon"
"","112","0.4023","1900670","Chordata","149.7141","ctg113_pilon_pilon"
"","113","0.422","1604447","Chordata","138.7877","ctg114_pilon_pilon"
"","114","0.4071","1211229","Chordata","140.9097","ctg115_pilon_pilon"
"","115","0.4195","1227131","Chordata","143.2154","ctg116_pilon_pilon"
"","116","0.3983","908232","Chordata","140.0657","ctg117_pilon_pilon"
"","117","0.4143","900918","Chordata","139.5869","ctg118_pilon_pilon"
"","118","0.4142","922271","Chordata","139.5441","ctg119_pilon_pilon"
"","119","0.4027","1057683","Chordata","140.1181","ctg120_pilon_pilon"
"","120","0.4301","1688837","Chordata","138.1268","ctg121_pilon_pilon"
